Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6EMynpZ10GVcwVqiLZj6Ye,"2DaxqgrOhkeH0fpeiQq2f4","Champagne Supernova","(What's The Story) Morning Glory?","Oasis",1995-10-02,450506,60,spotify:user:ventedcups,2022-09-20T03:46:33Z,"beatlesque,britpop,madchester,permanent wave,pop rock,rock",0.303,0.853,2,-2.26,1,0.0366,0.223,0.00159,0.361,0.119,150.381,4
12dU3vAh6AFoJkisorfoUl,"2DaxqgrOhkeH0fpeiQq2f4","Don't Look Back In Anger - Remastered","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","Oasis",1995,289560,71,spotify:user:ventedcups,2022-09-20T03:46:38Z,"beatlesque,britpop,madchester,permanent wave,pop rock,rock",0.328,0.936,0,-3.254,1,0.0628,0.0665,0.00000261,0.165,0.31,162.97,4
0fea68AdmYNygeTGI4RC18,"1vyhD5VmyZ7KMfW5gqLgo5,4q3ewBCX7sLwd24euuV69X","LA CANCIÓN","OASIS","J Balvin,Bad Bunny",2019-06-28,242573,88,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:48:12Z,"reggaeton,reggaeton colombiano,trap latino",0.754,0.646,7,-5.795,1,0.317,0.152,0.0000185,0.108,0.429,176.089,4
4gzsuuZypVbxs0Af1LSZyB,"0GM7qgcRCORpGnfcN2tCiB,4q3ewBCX7sLwd24euuV69X,2QWIScpFDNxmS6ZEMIUvgm","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy,Bad Bunny,Julieta Venegas",2021-10-05,207301,85,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:48:18Z,"latin hip hop,latin pop,pop reggaeton,reggaeton,reggaeton flow,trap latino,latin alternative,latin rock,rock en espanol",0.639,0.703,4,-6.33,0,0.0794,0.0889,0.00000178,0.0865,0.138,169.888,4
47Bg6IrMed1GPbxRgwH2aC,"7pbDxGE6nQSZVfiFdq9lOL","Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,63,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:48:48Z,"bedroom pop,pop",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
5GUYJTQap5F3RDQiCOJhrS,"2h93pZq0e7k5yf4dywlkpM","Self Control","Blonde","Frank Ocean",2016-08-20,249667,75,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:49:10Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.581,0.21,8,-10.426,1,0.0321,0.768,0,0.369,0.452,80.099,4
2LBqCSwhJGcFQeTHMVGwy3,"1Xyo4u8uXC1ZmMpatF05PJ","Die For You","Starboy","The Weeknd",2016-11-24,260253,87,spotify:user:ng6zagkgwtqnbtsv7bbjx9gf3,2022-09-20T03:49:23Z,"canadian contemporary r&b,canadian pop,pop",0.586,0.525,1,-7.163,0,0.0615,0.111,0,0.134,0.508,133.629,4
4QhWbupniDd44EDtnh2bFJ,"2h93pZq0e7k5yf4dywlkpM","Pyramids","channel ORANGE","Frank Ocean",2012-07-10,592920,72,spotify:user:juandiego1337,2022-09-20T03:49:42Z,"hip hop,lgbtq+ hip hop,neo soul,pop",0.4,0.65,5,-6.104,0,0.0466,0.0118,0.0000762,0.791,0.15,107.989,4
6GzApXoBQiiAjak3tOQfV3,"5Rl15oVamLq7FbSb0NNBNy,0ZED1XzwlLHW4ZaG4lOT6m","Lie To Me (feat. Julia Michaels)","Lie To Me (feat. Julia Michaels)","5 Seconds of Summer,Julia Michaels",2018-12-21,149877,69,spotify:user:wo4fr8q9ihyz79h9m4forhc0q,2022-09-20T03:49:47Z,"boy band,dance pop,pop,post-teen pop,alt z,electropop",0.611,0.52,0,-5.445,1,0.0346,0.0132,0,0.105,0.771,159.927,4
5WNYg3usc6H8N3MBEp4zVk,"4V8LLVI7PbaPR0K2TGSxFF,7pbDxGE6nQSZVfiFdq9lOL,1mSJCvDX0W7Dn7S9C6vmvI","Boredom (feat. Rex Orange County & Anna of the North)","Flower Boy","Tyler, The Creator,Rex Orange County,Anna of the North",2017-07-21,320720,70,spotify:user:wo4fr8q9ihyz79h9m4forhc0q,2022-09-20T03:50:15Z,"hip hop,rap,bedroom pop,pop,electropop,indie poptimism,norwegian pop,vapor pop",0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,4
2tlJ22iQwiO1CWBQSma23n,"0kX41bvrBQtgqSEXbmTzMN","Car Crash","Car Crash","eaJ",2022-04-08,187106,62,spotify:user:znxas3h0zzvow6z221s02ch2d,2022-09-20T03:51:34Z,"",0.681,0.679,0,-6.699,1,0.0414,0.0063,0.000109,0.136,0.262,124.966,4
4k6Uh1HXdhtusDW5y8Gbvy,"57vWImR43h4CaDao012Ofp","Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232066,88,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T03:51:50Z,"afrofuturism",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
1Xtz05nIgJiEYdncfd1w8h,"1hcdI2N1023RvSwLzTtdsp,1ldFRYgmjxDrX27bIe3dWx","Soledad y el Mar (feat. Los Macorinos)","Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)","Natalia Lafourcade,Los Macorinos",2017-05-05,214546,68,spotify:user:22q6gbff7oudw75n7ku7m776y,2022-09-20T03:51:57Z,"latin alternative,latin pop,mexican pop,rock en espanol,veracruz indie",0.726,0.177,1,-14.824,0,0.0353,0.896,0.00000214,0.116,0.618,92.934,4
1hUPOCqOukEl03lOs16DtN,"5Rl15oVamLq7FbSb0NNBNy","Lover Of Mine","CALM","5 Seconds of Summer",2020-03-27,206973,63,spotify:user:22q6gbff7oudw75n7ku7m776y,2022-09-20T03:52:17Z,"boy band,dance pop,pop,post-teen pop",0.545,0.858,11,-2.536,0,0.0406,0.194,0,0.151,0.323,94.041,3
7F1lXZIzokjKPBpT3pHdy6,"0dUYLC7DLjeS8gIh8cz2Pq","Baby Powder","Division (Deluxe)","Jenevieve",2022-04-29,176760,28,spotify:user:rfe7lnsuw25yfennyuh1qdhnw,2022-09-20T03:53:12Z,"alternative r&b,chill r&b,indie r&b",0.799,0.452,1,-7.641,0,0.0466,0.238,0.000133,0.0878,0.732,78.461,3
4ZaRg5Sf4TKr0YcFRLh7QJ,"4ClziihVpBeFXNyDH83Lde","Love Affair","Love Language","UMI",2019-10-30,190960,67,spotify:user:rfe7lnsuw25yfennyuh1qdhnw,2022-09-20T03:53:20Z,"alternative r&b,bedroom soul,chill r&b,indie r&b,pop,r&b",0.613,0.488,8,-7.37,1,0.0964,0.129,0.0000213,0.335,0.183,172.076,4
5tqZJUHEuqdN12RZVq2l9p,"7GN9PivdemQRKjDt4z5Zv8","Hold On","Hive Mind","The Internet",2018-07-20,406466,64,spotify:user:rfe7lnsuw25yfennyuh1qdhnw,2022-09-20T03:53:25Z,"alternative r&b,indie soul,lgbtq+ hip hop,neo soul,r&b,rap",0.7,0.414,0,-10.864,1,0.0373,0.849,0.0606,0.107,0.444,60.479,4
13z7RLPmgupzRwQY9NiTZU,"74CcYmmNeHKe5PrZaISk8e,3Gm5F95VdRxW3mqCn8RPBJ","Cherries","Girl Eats Sun","Hope Tala,Aminé",2020-11-13,183769,53,spotify:user:rfe7lnsuw25yfennyuh1qdhnw,2022-09-20T03:53:29Z,"alternative r&b,chill r&b,indie r&b,indie soul,hip hop,pop,portland hip hop,rap",0.795,0.693,10,-6.737,0,0.0982,0.0192,0.00125,0.0719,0.772,89.951,4
6xGruZOHLs39ZbVccQTuPZ,"3MZsBdqDrRTJihTHQrO6Dq","Glimpse of Us","Glimpse of Us","Joji",2022-06-10,233456,91,spotify:user:rfe7lnsuw25yfennyuh1qdhnw,2022-09-20T03:53:39Z,"viral pop",0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
3Nc86B5XmDlG1KuEeSLD8x,"3MZsBdqDrRTJihTHQrO6Dq","Ew","Nectar","Joji",2020-09-24,207710,63,spotify:user:rfe7lnsuw25yfennyuh1qdhnw,2022-09-20T03:53:59Z,"viral pop",0.48,0.373,10,-9.297,1,0.0278,0.804,0.067,0.12,0.0376,114.078,4
3GCL1PydwsLodcpv0Ll1ch,"06HL4z0CvFAxyc27GXpf02","You Belong With Me","Fearless","Taylor Swift",2008-11-11,231133,70,spotify:user:ytduim9xu6nexi9s5pkxq6qot,2022-09-20T03:54:12Z,"pop",0.687,0.783,6,-4.44,1,0.0386,0.162,0.0000135,0.114,0.443,129.964,4
2gi7YVaMpFqOIXZc5w37sp,"5UezsklPScipW64XJm7qql","Woodpecker No. 2","Pulse Demon","Merzbow",1996,217600,21,spotify:user:young_lukes,2022-09-20T03:55:04Z,"drone,experimental,experimental rock,industrial,japanoise,noise,sound art",0.105,1,8,4.615,1,0.169,0.0617,0.888,0.373,0.0195,78.65,3
25U7raB3ZSszayTYClh4hF,"4ogvuDRerGhZfSf7TtzHlr","Somewhere Over The Rainbow_What A Wonderful World","Facing Future","Israel Kamakawiwo'ole",1993-11-01,308026,70,spotify:user:ytduim9xu6nexi9s5pkxq6qot,2022-09-20T03:55:04Z,"hawaiian",0.663,0.168,0,-13.725,1,0.0448,0.928,0.0000568,0.361,0.678,85.005,4
5iSEsR6NKjlC9SrIJkyL3k,"0fA0VVWsXO9YnASrzqfmYu,0SwO7SWeDHJijQ3XNS7xEE,57dN52uHvrHOxijzpIgu3E","Pursuit Of Happiness (Nightmare)","Man On The Moon: The End Of Day","Kid Cudi,MGMT,Ratatat",2009-09-15,295293,73,spotify:user:ytduim9xu6nexi9s5pkxq6qot,2022-09-20T03:55:37Z,"hip hop,ohio hip hop,rap,alternative dance,indietronica,modern rock,rock",0.63,0.605,0,-8.951,1,0.0414,0.484,0.0000929,0.298,0.266,115.277,4
41bIQPBE1lFN0mmw6Lmssz,"3q7HBObVc0L8jNeTe5Gofh,1Oa0bMld0A3u5OTYfMzp5h","21 Questions","Get Rich Or Die Tryin'","50 Cent,Nate Dogg",2003-02-06,224426,72,spotify:user:ytduim9xu6nexi9s5pkxq6qot,2022-09-20T03:55:41Z,"east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap,g funk,west coast rap",0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,4
2P6VHEHgkqabbnZ9wq2uyy,"6gtIvaBCrswcltfMt67LMn","Pirates on a Boat","Pirates on a Boat","Yuno Miles",2022-06-06,99631,45,spotify:user:young_lukes,2022-09-20T03:56:01Z,"meme rap",0.634,0.391,8,-11.645,1,0.413,0.0964,0,0.121,0.45,74.434,3
393MDhe62s8hbH8ETrlxe5,"0fA0VVWsXO9YnASrzqfmYu","Mr. Rager","Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi",2010-11-09,294226,75,spotify:user:ventedcups,2022-09-20T03:56:07Z,"hip hop,ohio hip hop,rap",0.671,0.726,7,-8.689,1,0.0272,0.389,0.882,0.14,0.581,102.002,4
0cm53Jz1z1AA7NrfN7VAk6,"7eGJeQTIqcNgSTn7x5tIse","On the Floor","On the Floor","IceJJFish",2013-11-25,274103,41,spotify:user:young_lukes,2022-09-20T03:58:12Z,"meme rap",0.595,0.561,0,-5.719,0,0.0694,0.279,0,0.32,0.63,120.021,4
63GPgPSiHy71crS3boVsT6,"6whPaMyAuGAKK63gAFDiFy","Dog Barking Indoors","Pet Sound Effects","Digiffects Sound Effects Library",2016-02-27,75441,41,spotify:user:young_lukes,2022-09-20T03:58:56Z,"sound effects",0.658,0.00188,5,-26.937,0,0.095,0.594,0,0.177,0.175,79.874,5
7JujOW7ctG8tpt7WLwdyMe,"6whPaMyAuGAKK63gAFDiFy","Burglar Alarm with Fast Pulses, Rising, And Falling","Alarms, Sirens, And Whistle Sound Effects","Digiffects Sound Effects Library",2016-02-27,35340,11,spotify:user:young_lukes,2022-09-20T03:59:23Z,"sound effects",0.408,0.439,3,-21.937,1,0.0732,0.00000132,0.969,0.129,0.185,224.034,3
1GHJ6Qt08DWmbozdSJ4s0d,"6whPaMyAuGAKK63gAFDiFy","Burglar Alarm with High and Low Alternating Pitch","Alarms, Sirens, And Whistle Sound Effects","Digiffects Sound Effects Library",2016-02-27,31230,24,spotify:user:young_lukes,2022-09-20T03:59:41Z,"sound effects",0.304,0.112,11,-25.959,0,0.0486,0.0000702,0.967,0.113,0.334,217.709,4
3XtbtOMVVBooqbcGz8UErp,"4fSMtiyC6lF5BUO1tUMWMs,7mTcyvqv1GInWjOTVkz6h1","Monkeys Spinning Monkeys","Monkeys Spinning Monkeys","Kevin MacLeod,Kevin",2019-10-10,125000,50,spotify:user:young_lukes,2022-09-20T04:02:27Z,"",0.932,0.212,7,-17.997,1,0.16,0.904,0.885,0.11,0.902,144.059,4
0gEpB5bBQGGRbJD2bDluj4,"6gj3sMEZYP6IESIptoXnrP","free drugs","Pulp (Director’s Cut)","Ambré",2020-07-31,312955,20,spotify:user:nyonas1221,2022-09-20T04:13:45Z,"alternative r&b,chill r&b,indie r&b,pop r&b,r&b,trap soul",0.401,0.469,10,-10.91,0,0.189,0.0972,0.0055,0.342,0.352,81.978,4
0H6CZCG2F1N3XZWNZAVqE7,"4jwROPSUkTkohLCRiyjiZZ","BILL$","COLORWAY","DESTIN CONRAD",2021-03-05,143092,57,spotify:user:nyonas1221,2022-09-20T04:14:00Z,"alternative r&b,chill r&b,indie r&b,r&b",0.681,0.324,2,-8.565,0,0.123,0.399,0.0000232,0.0754,0.431,135.088,4
0314PeD1sQNonfVWix3B2K,"6vWDO969PvNqNYHIOW5v0m,46MWeeHNVMYRIIofQBEX98","ENERGY (feat. Beam)","RENAISSANCE","Beyoncé,BEAM",2022-07-29,116727,77,spotify:user:nyonas1221,2022-09-20T04:14:26Z,"dance pop,pop,r&b,trap soul",0.903,0.519,1,-9.151,1,0.26,0.281,0.000106,0.155,0.587,114.991,4
3iVcZ5G6tvkXZkZKlMpIUs,"2YZyLoL8N0Wb9xBt1NhZWg","Alright","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,219333,79,spotify:user:nyonas1221,2022-09-20T04:16:06Z,"conscious hip hop,hip hop,rap,west coast rap",0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,4
3EG9FJ0ToLfgnc1IG2Z1wz,"4V8LLVI7PbaPR0K2TGSxFF,3tlXnStJ1fFhdScmQeLpuG,4yJHrytMK7mqtKsXVGaBNg","SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","CALL ME IF YOU GET LOST","Tyler, The Creator,Brent Faiyaz,Fana Hues",2021-06-25,588139,75,spotify:user:11160411205,2022-09-20T04:18:18Z,"hip hop,rap,dmv rap,pop,r&b,alternative r&b,chill r&b,indie r&b,indie soul",0.468,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,4
7FrJV8tydWEv1Mxu2mIQrm,"7hJcb9fa4alzcOq3EaNPoG,2RdwBSPQiwcmiDo9kixcl8,6B5fQU6gKaq7JPRL4YIg1B","Beautiful","Paid Tha Cost To Be Da Bo$$","Snoop Dogg,Pharrell Williams,Uncle Charlie Wilson",2002-01-01,298306,64,spotify:user:juandiego1337,2022-09-20T04:24:27Z,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap,pop",0.907,0.695,11,-6.268,0,0.135,0.246,0,0.0808,0.961,101.007,4
6JqwuALkOqCYXMDO3llZUm,"5069JTmv5ZDyPeZaCCXiCg","seasons","summer flows 0.02","wave to earth",2020-08-04,256000,60,spotify:user:12166761532,2022-09-20T05:27:06Z,"chill r&b,korean city pop",0.354,0.277,7,-10.62,1,0.0271,0.782,0.0585,0.218,0.163,60.037,4
3DcL8FXLA9iKwqnyj9POLt,"1ybINI1qPiFbwDXamRtwxD,6U3ybJ9UHNKEdsH7ktGBZ7,1rHOtdmGNr5vcYNw5v7QGC","Baguetti (with JID & Kenny Beats)","Baguetti (with JID & Kenny Beats)","Smino,JID,Kenny Beats",2020-07-21,180765,55,spotify:user:12166761532,2022-09-20T05:27:30Z,"hip hop,rap,underground hip hop,trap",0.788,0.513,7,-9.56,1,0.535,0.418,0,0.125,0.663,70.08,4
4n358XQMHXd0xi6NazWdxr,"6qgnBH6iDM91ipVXv28OMu,5XenQ7XfcvQdfIbpLEFaKQ,4e8ULyN5otwmBHxanRiBnP,2sihWpnEorLd86tRAaDUrc","Vex Oh (feat. Eight9FLY)","BUBBA","KAYTRANADA,GoldLink,Ari PenSmith,Eight9FLY",2019-12-13,162146,63,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T23:46:06Z,"escape room,lgbtq+ hip hop,dmv rap,hip hop,pop,r&b,rap,underground hip hop",0.742,0.645,6,-10.248,1,0.386,0.148,0.0000286,0.0861,0.804,112.402,4
6ZOcbKub95XSDESsKKuH41,"1mcTU81TzQhprhouKaTkpq,37230BxxYs9ksS7OkZw3IU","Desesperados","Desesperados","Rauw Alejandro,Chencho Corleone",2021-12-11,224996,81,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T23:46:27Z,"puerto rican pop,trap latino,reggaeton flow",0.869,0.694,1,-3.35,0,0.0783,0.356,0.00125,0.0878,0.511,90.02,4
6Sq7ltF9Qa7SNFBsV5Cogx,"4q3ewBCX7sLwd24euuV69X,37230BxxYs9ksS7OkZw3IU","Me Porto Bonito","Un Verano Sin Ti","Bad Bunny,Chencho Corleone",2022-05-06,178567,95,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-20T23:46:38Z,"reggaeton,trap latino,reggaeton flow",0.911,0.712,1,-5.105,0,0.0817,0.0901,0.0000268,0.0933,0.425,92.005,4
3NWTRZ0A8xKlBP1qgNftql,"7GN9PivdemQRKjDt4z5Zv8","Special Affair","Ego Death","The Internet",2015-06-26,176186,61,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:25:04Z,"alternative r&b,indie soul,lgbtq+ hip hop,neo soul,r&b,rap",0.795,0.409,9,-10.134,0,0.0859,0.183,0.00108,0.112,0.518,120.095,4
0IX5OFffosy8wk16m1IFCa,"4Gso3d4CscCijv0lmajZWs,1U1el3k54VvEUzo3ybLPlM","Drugs N Hella Melodies (feat. Kali Uchis)","Life of a DON","Don Toliver,Kali Uchis",2021-10-08,198057,67,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:26:08Z,"pop,rap,trap,colombian pop",0.56,0.707,1,-6.863,0,0.07,0.264,0.000268,0.108,0.341,147,4
37Nqx7iavZpotJSDXZWbJ3,"3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK","Girls Want Girls (with Lil Baby)","Certified Lover Boy","Drake,Lil Baby",2021-09-03,221979,78,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:26:12Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,atl hip hop,atl trap,trap",0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,4
5Rv9grENo0PwMFd3ZCT3Zp,"2LIk90788K0zvyj2JJVwkJ,0UcXjTpzt0DmIwPSNwlJfF","I WANNA SEE SOME ASS (feat. jetsonmade)","Sweet Action","Jack Harlow,jetsonmade",2020-03-12,125302,51,spotify:user:ila3zge3cp1m5lkvyszrtz11o,2022-09-21T00:26:17Z,"deep underground hip hop,kentucky hip hop,pop,rap",0.907,0.652,0,-7.733,1,0.0578,0.284,0.000337,0.135,0.93,107.952,4
